cfb_season,college,ap_rank,nfl_players,pro_bowls,all_pros,player_list
2000,LSU,20,22,0,0,Bradie James|Brandon Winey|Chad Lavalais|Corey Webster|Craig Nall|Devery Henderson|Domanick Williams|Donnie Jones|Howard Green|Jarvis Green|Josh Reed|LaBrandon Toefield|Louis Williams|Marcus Spears|Marquise Hill|Matt Mauck|Michael Clayton|Norman LeJeune|Robert Royal|Rohan Davey|Stephen Peterman|Travis Daniels
2000,Texas A&M,21,16,0,0,Bethel Johnson|Don Muhlbach|Geoff Hangartner|Jamaar Taylor|Jason Glenn|Michael Jameson|Mike Montgomery|Robert Ferguson|Rocky Bernard|Ron Edwards|Ronald Flemons|Sammy Davis|Seth McKinney|Taylor Whitley|Terrence Kiel|Ty Warren
2000,Mississippi State,22,10,0,0,David Stewart|Donald Lee|Dorsett Davis|Ellis Wyms|Floyd Womack|Fred Smoot|Justin Griffith|Mario Haggan|Ronald Fields|Willie Blade
2000,Northwestern,23,8,0,0,Austin King|Dwayne Missouri|Harold Blackmon|Kevin Bentley|Luis Castillo|Napoleon Harris|Noah Herron|Trai Essex
2000,NC State,24,10,14,1,Adrian Wilson|Brian Williams|Jerricho Cotchery|Koren Robinson|Levar Fisher|Patrick Thomas|Philip Rivers|Scott Kooistra|Sean Locklear|Terrence Holt
2000,Auburn,25,13,7,1,Carlos Rogers|Carnell Williams|Dontarrious Thomas|Heath Evans|Jason Campbell|Jay Ratliff|Karlos Dansby|Kendall Simmons|Mike Pucillo|Reggie Torbor|Ronnie Brown|Rudi Johnson|Tim Carter
2001,Miami,1,39,50,12,Andre Johnson|Andrew Williams|Antrel Rolle|Bryant McKinnie|Chris Myers|Clinton Portis|D.J. Williams|Darrell McClover|Daryl Jones|Devin Hester|Ed Reed|Eric Winston|Frank Gore|Jamaal Green|Jeremy Shockey|Jerome McDougle|Joaquin Gonzalez|Jonathan Vilma|Kellen Winslow|Kelly Jennings|Ken Dorsey|Kevin Everett|Leon Williams|Marcus Maxey|Martin Bibla|Matt Walters|Mike Rumph|Najeh Davenport|Orien Harris|Phillip Buchanon|Rashad Butler|Rocky McIntosh|Roscoe Parrish|Sean Taylor|Sinorice Moss|Vernon Carey|Vince Wilfork|William Joseph|Willis McGahee
2001,Oregon,2,18,5,2,Adam Snyder|Demetrius Williams|George Wrighster|Haloti Ngata|Igor Olshansky|Joey Harrington|Junior Siavii|Justin Peelle|Keenan Howry|Keith Lewis|Kellen Clemens|Marcus Maxwell|Maurice Morris|Onterrio Smith|Rashad Bauman|Samie Parker|Steve Smith|Wesly Mallard
2001,Florida,3,25,2,1,Aaron Walker|Alex Brown|Andra Davis|Ben Troupe|Bobby McCray|Chad Jackson|Channing Crowder|Ciatrick Fason|Dee Webb|Ian Scott|Jabar Gaffney|Jeff Chandler|Jeremy Mincey|Keiwan Ratliff|Lito Sheppard|Marquand Manuel|Max Starks|Mike Nattiel|Mike Pearson|Reche Caldwell|Rex Grossman|Reynaldo Hill|Taylor Jacobs|Todd Johnson|Tron LaFavor
2001,Tennessee,4,25,18,4,Albert Haynesworth|Andre Lott|Aubrayo Franklin|Cedric Houston|Demetrin Veal|Dominique Stevenson|Donte' Stallworth|Dustin Colquitt|Fred Weary|Gibril Wilson|Jason Allen|Jason Witten|Jesse Mahelona|John Henderson|Julian Battle|Kelley Washington|Kevin Burnett|Keyon Whiteside|Mark Jones|Omar Gaither|Parys Haralson|Rashad Moore|Scott Wells|Tony McDaniel|Troy Fleming
2001,Texas,5,18,8,1,Bo Scaife|Cedric Benson|Cedric Griffin|Chris Simms|Cory Redding|Cullen Loeffler|David Thomas|Derrick Dockery|Derrick Johnson|Jonathan Scott|Marcus Tubbs|Michael Huff|Mike Williams|Nathan Vasher|Quentin Jammer|Rodrique Wright|Roy Williams|Vince Young
2001,Oklahoma,6,23,12,2,Andre Woolfolk|Antonio Perkins|Brandon Jones|Brodney Pool|Chris Chester|Clint Ingram|Davin Joseph|Derrick Strait|Donte Nicholson|J.D. Runnels|Jammal Brown|Jimmy Wilkerson|Lance Mitchell|Mark Bradley|Mark Clayton|Michael Hawkins|Quentin Griffin|Rocky Calmus|Roy Williams|Teddy Lehman|Tommie Harris|Travis Wilson|Wes Sims
2001,LSU,7,26,11,2,Andrew Whitworth|Bradie James|Chad Lavalais|Claude Wroten|Corey Webster|Craig Nall|Devery Henderson|Domanick Williams|Donnie Jones|Howard Green|Jarvis Green|Joseph Addai|Josh Reed|Kyle Williams|LaBrandon Toefield|Marcus Spears|Marquise Hill|Matt Mauck|Melvin Oliver|Michael Clayton|Norman LeJeune|Robert Royal|Rohan Davey|Skyler Green|Stephen Peterman|Travis Daniels
2001,Nebraska,8,18,6,0,Barrett Ruud|Chris Kelsay|Daniel Bullocks|Dejuan Groce|Demorrio Williams|Fabian Washington|Jammal Lord|Josh Brown|Josh Bullocks|Keyuo Craver|Le Kevin Smith|Richie Incognito|Ryon Bingham|Sam Koch|Scott Shanle|Titus Adams|Toniu Fonoti|Trevor Johnson
2001,Colorado,9,14,6,0,Andre Gurode|Chris Brown|D.J. Hackett|Daniel Graham|Donald Strickland|Joe Klopfenstein|Justin Bannan|Lawrence Vickers|Michael Lewis|Quinn Sypniewski|Sean Tufts|Tyler Brayton|Victor Rogers|Wayne Lucier
2001,Washington State,10,10,1,0,Devard Darling|Erik Coleman|Hamza Abdullah|Jason David|Jerome Harrison|Karl Paymah|Lamont Thompson|Marcus Trufant|Raonall Smith|Rien Long
2001,Maryland,11,15,9,1,Bruce Perry|Charles Hill|D'Qwell Jackson|Domonique Foxworth|E.J. Henderson|Jeff Dugan|Leon Joe|Madieu Williams|Matt Murphy|Melvin Fowler|Nick Novak|Randy Starks|Shaun Hill|Shawne Merriman|Vernon Davis
2001,Illinois,12,9,2,0,Brandon Lloyd|Christian Morton|David Diehl|Duke Preston|Eugene Wilson|Kelvin Hayden|Kurt Kittner|Steve Weatherford|Tony Pashos
2001,South Carolina,13,15,2,0,Andre' Goodman|Andrew Pinnock|Corey Jenkins|Darrell Shropshire|Dunta Robinson|John Stamper|Johnathan Joseph|Kalimba Edwards|Ko Simpson|Langston Moore|Rod Wilson|Sheldon Brown|Travelle Wharton|Troy Williamson|Willie Offord
2001,Syracuse,14,10,8,3,Adam Terry|Anthony Smith|David Tyree|Dwight Freeney|James Wyche|Johnnie Morant|Kevin Sampson|Kyle Johnson|Quinn Ojinnaka|Ryan LaCasse
2001,Florida State,15,28,14,2,A.J. Nicholson|Alex Barron|Alonzo Jackson|Anquan Boldin|Antonio Cromartie|Brett Williams|Brodrick Bunkley|Bryant McFadden|Chauncey Davis|Chris Hope|Craphonso Thorpe|Darnell Dockett|Eric Moore|Ernie Sims|Greg Jones|Javon Walker|Jerome Carter|Kamerion Wimbley|Kendyll Pope|Leon Washington|Michael Boulware|Montrae Holland|Pat Watkins|Ray Willis|Talman Gardner|Todd Williams|Travis Johnson|Willie Reid
2001,Stanford,16,16,0,0,Alex Smith|Amon Gordon|Babatunde Oshinowo|Colin Branch|Coy Wire|Eric Heitmann|Jon Alston|Kirk Chambers|Kwame Harris|Oshiomogho Atogwe|Randy Fasani|Stanley Wilson|T.J. Rushing|Tank Williams|Teyo Johnson|Will Svitek
2001,Louisville,17,13,5,2,Brandon Johnson|Chris Johnson|Curry Burns|Dave Ragone|Deion Branch|Dewayne White|Elvis Dumervil|Eric Shelton|Jason Spitz|Kerry Rhodes|Lionel Gates|Montavious Stanley|Robert McCune
2001,Virginia Tech,18,19,3,0,Andre Davis|Ben Taylor|Chad Beasley|Darryl Tapp|David Pugh|DeAngelo Hall|Eric Green|Ernest Wilford|Jake Grove|James Anderson|Jeff King|Jimmy Williams|Jonathan Lewis|Justin Hamilton|Kevin Jones|Lee Suggs|Vincent Fuller|Will Montgomery|Willie Pile
2001,Washington,19,8,0,0,Cody Pickett|Jerramy Stevens|Khalif Barnes|Larry Tripplett|Marquis Cooper|Omare Lowe|Reggie Williams|Tank Johnson
2001,Michigan,20,16,3,0,B.J. Askew|Bennie Joppru|Braylon Edwards|Cato June|Chris Perry|David Baas|Drew Henson|Gabe Watson|Hayden Epstein|Jason Avant|John Navarre|Jonathan Goodwin|Larry Foote|Marlin Jackson|Tim Massaquoi|Victor Hobson
2001,Boston College,21,10,5,1,Antonio Garay|Brian St. Pierre|Chris Snee|Dan Koppen|Jeremy Trueblood|Marc Colombo|Mathias Kiwanuka|Sean Ryan|Will Blackmon|William Green
2001,Georgia,22,27,5,1,Benjamin Watson|Boss Bailey|Bruce Thornton|Charles Grant|Chris Clemons|David Pollack|George Foster|Greg Blue|Jermaine Phillips|Johnathan Sullivan|Josh Mallard|Kedric Golston|Leonard Pope|Max Jean-Gilles|Musa Smith|Odell Thurman|Randy McMichael|Reggie Brown|Robert Geathers|Sean Jones|Terreal Bierria|Thomas Davis|Tim Jennings|Tim Wansley|Tony Gilbert|Verron Haynes|Will Witherspoon
2001,Toledo,23,4,0,0,Bruce Gradkowski|Carl Ford|Chester Taylor|Nick Kaczur
2001,Georgia Tech,24,10,0,0,Chris Young|Daryl Smith|Dawan Landry|Gerris Wilkinson|Jonathan Smith|Keyaron Fox|Nat Dorsey|Nick Rogers|P.J. Daniels|Tony Hargrove
2001,BYU,25,8,1,0,Brady Poppinga|Brett Keisel|Colby Bockwoldt|Doug Jolley|John Denney|Ryan Denney|Scott Young|Todd Watkins
2002,Ohio State,1,36,11,2,A.J. Hawk|Adrien Clarke|Alex Stepanovich|Anthony Gonzalez|Anthony Schlegel|Antonio Pittman|Ashton Youboty|B.J. Sander|Ben Hartsock|Bobby Carpenter|Chris Gamble|Cie Grant|Craig Krenzel|Darrion Scott|Donnie Nickey|Donte Whitner|Drew Carter|Dustin Fox|Jay Richardson|Kenny Peterson|Matt Wilhelm|Michael Jenkins|Mike Doss|Mike Nugent|Nate Salley|Nick Mangold|Quinn Pitcock|Rob Sims|Roy Hall|Santonio Holmes|Shane Olivea|Ted Ginn|Tim Anderson|Troy Smith|Will Allen|Will Smith
